NAME,POS,TEAM,PPR_PTS,CMP,ATT,PASS_YDS,PASS_TD,INT,RUSH,RUSH_YDS,RUSH_TD,TGT,REC,REC_YDS,REC_TD
Avery Williams,RB,PHI,1,0,0,0,0,0,2,8,0,0,0,0,0
Kimani Vidal,RB,LAC,1,0,0,0,0,0,2,10,0,0,0,0,0
Keilan Robinson,RB,PHI,0.9,0,0,0,0,0,2,7,0,0,0,0,0
J.J. Taylor,RB,HOU,1,0,0,0,0,0,2,6,0,0,0,0,0
Dameon Pierce,RB,HOU,1,0,0,0,0,0,2,9,0,0,0,0,0
Reggie Gilliam,RB,BUF,1.2,0,0,0,0,0,1,3,0,1,0,2,0
Raheem Blackshear,RB,CAR,1,0,0,0,0,0,2,7,0,0,0,1,0
Evan Hull,RB,PIT,0.8,0,0,0,0,0,1,6,0,0,0,0,0
Jordan Mims,RB,TEN,0.8,0,0,0,0,0,2,8,0,0,0,0,0
Christopher Brooks,RB,GB,0.7,0,0,0,0,0,1,5,0,0,0,0,0
Dare Ogunbowale,RB,HOU,0.5,0,0,0,0,0,1,3,0,0,0,0,0
Ja’Marr Chase,WR,CIN,322.7,0,0,0,0,0,3,17,0.2,161,111,1517,9.8
Malik Nabers,WR,NYG,317.4,0,0,0,0,0,8,41,0.3,174,119,1445,8.1
Puka Nacua,WR,LAR,296.9,0,0,0,0,0,21,106,0.9,151,105,1385,6.3
Justin Jefferson,WR,MIN,292,0,0,0,0,0,1,5,0.1,155,105,1464,6.7
Nico Collins,WR,HOU,283.7,0,0,0,0,0,0,0,0,143,99,1456,6.7
Amon-Ra St. Brown,WR,DET,285.6,0,0,0,0,0,2,10,0.1,145,102,1328,8.3
CeeDee Lamb,WR,DAL,278.9,0,0,0,0,0,17,86,0.7,148,100,1270,6.6
Ladd McConkey,WR,LAC,276.3,0,0,0,0,0,0,0,0,145,99,1362,7.1
Tee Higgins,WR,CIN,267.5,0,0,0,0,0,0,0,0,144,96,1215,8.4
A.J. Brown,WR,PHI,257.5,0,0,0,0,0,0,0,0,129,89,1271,7.1
Brian Thomas Jr.,WR,JAC,252.4,0,0,0,0,0,6,34,0.3,129,87,1245,6.2
