NAME,POS,Y2024,Y2023,Y2022,AVG_PPG_PPR,TEAM
John Bates,TE,0.8,2.0,1.9,1.6,WAS
Alec Ingold,RB,1.7,1.4,1.8,1.6,MIA
Shane Zylstra,TE,0.3,0.0,3.2,1.8,DET
Connor Heyward,TE,0.9,2.3,2.1,1.8,PIT
Demetric Felton,WR,0.0,0.0,0.4,0.4,WAS
Michael Woods II,WR,2.6,0.0,0.9,1.8,CLE
Bryce Oliver,WR,1.7,0.0,0.0,1.7,TEN
Charlie Jones,WR,-0.1,1.8,0.0,0.9,CIN
Darnell Washington,TE,2.6,0.8,0.0,1.7,PIT
Stone Smartt,TE,2.4,2.0,0.7,1.7,NYJ
Ian Thomas,TE,0.6,0.8,2.4,1.3,LV
Collin Johnson,WR,0.1,0.7,0.0,0.4,LV
Johnny Mundt,TE,2.6,2.4,2.3,2.4,JAC
Julius Chestnut,RB,1.3,0.0,2.0,1.7,TEN
Eric Gray,RB,1.6,1.7,0.0,1.7,NYG
Grant Calcaterra,TE,3.5,0.5,0.9,1.6,PHI
